code_commune,population,nom_commune
97302,46952.431911,Cayenne
97307,25263.172703,Matoury
97309,20232.852983,Remire-Montjoly
97311,30501.694384,Saint-Laurent-du-Maroni
97407,27400.891232,Le Port
97408,27721.008371,La Possession
97409,42883.628949,Saint-André
97410,28341.318078,Saint-Benoît
97411,123109.546614,Saint-Denis
97412,30808.13787,Saint-Joseph
97413,28084.673998,Saint-Leu
97414,41201.254831,Saint-Louis
97415,85276.505864,Saint-Paul
97416,67834.559035,Saint-Pierre
97418,27363.346329,Sainte-Marie
97422,64324.977049,Le Tampon
